,ID,Name,Image URL,Description,Height,Weight,Categoty,Abilities,Type,Weaknesses,Stats
22,23,Ekans,https://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.","6' 07""",15.2 lbs,Snake,"['Shed Skin', 'Intimidate']",['Poison'],"['Psychic', 'Ground']","{'HP': 3, 'Attack': 4, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 4, 'Speed': 4}"
23,24,Arbok,https://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png,The frightening patterns on its belly have been studied. Six variations have been confirmed.,"11' 06""",143.3 lbs,Cobra,"['Shed Skin', 'Intimidate']",['Poison'],"['Psychic', 'Ground']","{'HP': 4, 'Attack': 6, 'Defense': 5, 'Special Attack': 4, 'Special Defense': 5, 'Speed': 5}"
24,25,Pikachu,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,"When it is angered, it immediately discharges the energy stored in the pouches in its cheeks.","1' 04""",13.2 lbs,Mouse,['Static'],['Electric'],['Ground'],"{'HP': 3, 'Attack': 4, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 6}"
25,26,Raichu,https://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png,"Its tail discharges electricity into the ground, protecting it from getting shocked.","2' 07""",66.1 lbs,Mouse,['Static'],['Electric'],['Ground'],"{'HP': 4, 'Attack': 6, 'Defense': 4, 'Special Attack': 6, 'Special Defense': 5, 'Speed': 7}"
26,27,Sandshrew,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body.","2' 00""",26.5 lbs,Mouse,['Sand Veil'],['Ground'],"['Water', 'Grass', 'Ice']","{'HP': 3, 'Attack': 5, 'Defense': 5, 'Special Attack': 2, 'Special Defense': 2, 'Speed': 3}"
27,28,Sandslash,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched.","3' 03""",65.0 lbs,Mouse,['Sand Veil'],['Ground'],"['Water', 'Grass', 'Ice']","{'HP': 5, 'Attack': 6, 'Defense': 7, 'Special Attack': 3, 'Special Defense': 4, 'Speed': 4}"
28,29,Nidoran♀,https://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png,"Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators.","1' 04""",15.4 lbs,Poison Pin,"['Poison Point', 'Rivalry']",['Poison'],"['Psychic', 'Ground']","{'HP': 4, 'Attack': 3, 'Defense': 4, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 3}"
29,30,Nidorina,https://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.,"2' 07""",44.1 lbs,Poison Pin,"['Poison Point', 'Rivalry']",['Poison'],"['Psychic', 'Ground']","{'HP': 5, 'Attack': 4, 'Defense': 4, 'Special Attack': 4, 'Special Defense': 4, 'Speed': 4}"
30,31,Nidoqueen,https://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack.","4' 03""",132.3 lbs,Drill,"['Poison Point', 'Rivalry']","['Poison', 'Ground']","['Water', 'Psychic', 'Ice', 'Ground']","{'HP': 6, 'Attack': 6, 'Defense': 6, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 5}"
31,32,Nidoran♂,https://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png,"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears.","1' 08""",19.8 lbs,Poison Pin,"['Poison Point', 'Rivalry']",['Poison'],"['Psychic', 'Ground']","{'HP': 3, 'Attack': 4, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 3}"
32,33,Nidorino,https://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone.","2' 11""",43.0 lbs,Poison Pin,"['Poison Point', 'Rivalry']",['Poison'],"['Psychic', 'Ground']","{'HP': 4, 'Attack': 5, 'Defense': 4, 'Special Attack': 4, 'Special Defense': 4, 'Speed': 4}"
33,34,Nidoking,https://assets.pokemon.com/assets/cms2/img/pokedex/full/034.png,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down.","4' 07""",136.7 lbs,Drill,"['Poison Point', 'Rivalry']","['Poison', 'Ground']","['Water', 'Psychic', 'Ice', 'Ground']","{'HP': 5, 'Attack': 6, 'Defense': 5, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 5}"
34,35,Clefairy,https://assets.pokemon.com/assets/cms2/img/pokedex/full/035.png,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.,"2' 00""",16.5 lbs,Fairy,"['Cute Charm', 'Magic Guard']",['Fairy'],"['Steel', 'Poison']","{'HP': 5, 'Attack': 3, 'Defense': 3, 'Special Attack': 4, 'Special Defense': 4, 'Speed': 3}"
35,36,Clefable,https://assets.pokemon.com/assets/cms2/img/pokedex/full/036.png,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people.","4' 03""",88.2 lbs,Fairy,"['Cute Charm', 'Magic Guard']",['Fairy'],"['Steel', 'Poison']","{'HP': 6, 'Attack': 5, 'Defense': 5, 'Special Attack': 6, 'Special Defense': 6, 'Speed': 4}"
36,37,Vulpix,https://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted.","2' 00""",21.8 lbs,Fox,['Flash Fire'],['Fire'],"['Water', 'Ground', 'Rock']","{'HP': 3, 'Attack': 3, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 4, 'Speed': 4}"
37,38,Ninetales,https://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers.","3' 07""",43.9 lbs,Fox,['Flash Fire'],['Fire'],"['Water', 'Ground', 'Rock']","{'HP': 5, 'Attack': 5, 'Defense': 5, 'Special Attack': 5, 'Special Defense': 6, 'Speed': 6}"
38,39,Jigglypuff,https://assets.pokemon.com/assets/cms2/img/pokedex/full/039.png,"When its huge eyes waver, it sings a mysteriously soothing melody that lulls its enemies to sleep.","1' 08""",12.1 lbs,Balloon,"['Cute Charm', 'Competitive']","['Normal', 'Fairy']","['Steel', 'Poison']","{'HP': 7, 'Attack': 3, 'Defense': 2, 'Special Attack': 3, 'Special Defense': 2, 'Speed': 2}"
39,40,Wigglytuff,https://assets.pokemon.com/assets/cms2/img/pokedex/full/040.png,"It has a very fine fur. Take care not to make it angry, or it may inflate steadily and hit with a body slam.","3' 03""",26.5 lbs,Balloon,"['Cute Charm', 'Competitive']","['Normal', 'Fairy']","['Steel', 'Poison']","{'HP': 9, 'Attack': 5, 'Defense': 3, 'Special Attack': 5, 'Special Defense': 3, 'Speed': 3}"
40,41,Zubat,https://assets.pokemon.com/assets/cms2/img/pokedex/full/041.png,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill.","2' 07""",16.5 lbs,Bat,['Inner Focus'],"['Poison', 'Flying']","['Psychic', 'Electric', 'Ice', 'Rock']","{'HP': 3, 'Attack': 3, 'Defense': 3, 'Special Attack': 2, 'Special Defense': 3, 'Speed': 4}"
41,42,Golbat,https://assets.pokemon.com/assets/cms2/img/pokedex/full/042.png,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered.","5' 03""",121.3 lbs,Bat,['Inner Focus'],"['Poison', 'Flying']","['Psychic', 'Electric', 'Ice', 'Rock']","{'HP': 5, 'Attack': 5, 'Defense': 5, 'Special Attack': 4, 'Special Defense': 5, 'Speed': 6}"
42,43,Oddish,https://assets.pokemon.com/assets/cms2/img/pokedex/full/043.png,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.","1' 08""",11.9 lbs,Weed,['Chlorophyll'],"['Grass', 'Poison']","['Fire', 'Psychic', 'Flying', 'Ice']","{'HP': 3, 'Attack': 3, 'Defense': 4, 'Special Attack': 5, 'Special Defense': 4, 'Speed': 2}"
43,44,Gloom,https://assets.pokemon.com/assets/cms2/img/pokedex/full/044.png,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,"2' 07""",19.0 lbs,Weed,['Chlorophyll'],"['Grass', 'Poison']","['Fire', 'Psychic', 'Flying', 'Ice']","{'HP': 4, 'Attack': 4, 'Defense': 5, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 3}"
44,45,Vileplume,https://assets.pokemon.com/assets/cms2/img/pokedex/full/045.png,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.","3' 11""",41.0 lbs,Flower,['Chlorophyll'],"['Grass', 'Poison']","['Fire', 'Psychic', 'Flying', 'Ice']","{'HP': 5, 'Attack': 5, 'Defense': 5, 'Special Attack': 7, 'Special Defense': 6, 'Speed': 3}"
45,46,Paras,https://assets.pokemon.com/assets/cms2/img/pokedex/full/046.png,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,"1' 00""",11.9 lbs,Mushroom,"['Effect Spore', 'Dry Skin']","['Bug', 'Grass']","['Fire', 'Flying', 'Ice', 'Poison', 'Rock', 'Bug']","{'HP': 3, 'Attack': 5, 'Defense': 4, 'Special Attack': 3, 'Special Defense': 4, 'Speed': 2}"
46,47,Parasect,https://assets.pokemon.com/assets/cms2/img/pokedex/full/047.png,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.,"3' 03""",65.0 lbs,Mushroom,"['Effect Spore', 'Dry Skin']","['Bug', 'Grass']","['Fire', 'Flying', 'Ice', 'Poison', 'Rock', 'Bug']","{'HP': 4, 'Attack': 6, 'Defense': 5, 'Special Attack': 4, 'Special Defense': 5, 'Speed': 2}"
47,48,Venonat,https://assets.pokemon.com/assets/cms2/img/pokedex/full/048.png,Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.,"3' 03""",66.1 lbs,Insect,"['Compound Eyes', 'Tinted Lens']","['Bug', 'Poison']","['Fire', 'Psychic', 'Flying', 'Rock']","{'HP': 4, 'Attack': 4, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 4, 'Speed': 3}"
48,49,Venomoth,https://assets.pokemon.com/assets/cms2/img/pokedex/full/049.png,"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.","4' 11""",27.6 lbs,Poison Moth,"['Shield Dust', 'Tinted Lens']","['Bug', 'Poison']","['Fire', 'Psychic', 'Flying', 'Rock']","{'HP': 5, 'Attack': 4, 'Defense': 4, 'Special Attack': 6, 'Special Defense': 5, 'Speed': 6}"
49,50,Diglett,https://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png,"It lives about one yard underground, where it feeds on plant roots. It sometimes appears aboveground.","0' 08""",1.8 lbs,Mole,"['Sand Veil', 'Arena Trap']",['Ground'],"['Water', 'Grass', 'Ice']","{'HP': 1, 'Attack': 4, 'Defense': 2, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 6}"
50,51,Dugtrio,https://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png,"Its three heads bob separately up and down to loosen the soil nearby, making it easier for it to burrow.","2' 04""",73.4 lbs,Mole,"['Sand Veil', 'Arena Trap']",['Ground'],"['Water', 'Grass', 'Ice']","{'HP': 3, 'Attack': 6, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 5, 'Speed': 8}"
51,52,Meowth,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png,"All it does is sleep during the daytime. At night, it patrols its territory with its eyes aglow.","1' 04""",9.3 lbs,Scratch Cat,"['Pickup', 'Technician']",['Normal'],['Fighting'],"{'HP': 3, 'Attack': 3, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 6}"
52,53,Persian,https://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.","3' 03""",70.5 lbs,Classy Cat,"['Technician', 'Limber']",['Normal'],['Fighting'],"{'HP': 4, 'Attack': 5, 'Defense': 4, 'Special Attack': 4, 'Special Defense': 4, 'Speed': 7}"
53,54,Psyduck,https://assets.pokemon.com/assets/cms2/img/pokedex/full/054.png,"It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers.","2' 07""",43.2 lbs,Duck,"['Damp', 'Cloud Nine']",['Water'],"['Grass', 'Electric']","{'HP': 3, 'Attack': 4, 'Defense': 3, 'Special Attack': 4, 'Special Defense': 3, 'Speed': 4}"
54,55,Golduck,https://assets.pokemon.com/assets/cms2/img/pokedex/full/055.png,"When it swims at full speed using its long, webbed limbs, its forehead somehow begins to glow.","5' 07""",168.9 lbs,Duck,"['Damp', 'Cloud Nine']",['Water'],"['Grass', 'Electric']","{'HP': 5, 'Attack': 5, 'Defense': 5, 'Special Attack': 6, 'Special Defense': 5, 'Speed': 5}"
55,56,Mankey,https://assets.pokemon.com/assets/cms2/img/pokedex/full/056.png,"It lives in groups in the treetops. If it loses sight of its group, it becomes infuriated by its loneliness.","1' 08""",61.7 lbs,Pig Monkey,"['Vital Spirit', 'Anger Point']",['Fighting'],"['Psychic', 'Flying', 'Fairy']","{'HP': 3, 'Attack': 5, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 5}"
56,57,Primeape,https://assets.pokemon.com/assets/cms2/img/pokedex/full/057.png,It becomes wildly furious if it even senses someone looking at it. It chases anyone that meets its glare.,"3' 03""",70.5 lbs,Pig Monkey,"['Vital Spirit', 'Anger Point']",['Fighting'],"['Psychic', 'Flying', 'Fairy']","{'HP': 4, 'Attack': 7, 'Defense': 4, 'Special Attack': 4, 'Special Defense': 5, 'Speed': 6}"
57,58,Growlithe,https://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,"2' 04""",41.9 lbs,Puppy,"['Intimidate', 'Flash Fire']",['Fire'],"['Water', 'Ground', 'Rock']","{'HP': 4, 'Attack': 5, 'Defense': 3, 'Special Attack': 5, 'Special Defense': 3, 'Speed': 4}"
58,59,Arcanine,https://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png,An ancient picture scroll shows that people were captivated by its movement as it ran through prairies.,"6' 03""",341.7 lbs,Legendary,"['Intimidate', 'Flash Fire']",['Fire'],"['Water', 'Ground', 'Rock']","{'HP': 6, 'Attack': 7, 'Defense': 5, 'Special Attack': 6, 'Special Defense': 5, 'Speed': 6}"
59,60,Poliwag,https://assets.pokemon.com/assets/cms2/img/pokedex/full/060.png,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin.","2' 00""",27.3 lbs,Tadpole,"['Damp', 'Water Absorb']",['Water'],"['Grass', 'Electric']","{'HP': 3, 'Attack': 3, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 6}"
60,61,Poliwhirl,https://assets.pokemon.com/assets/cms2/img/pokedex/full/061.png,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.,"3' 03""",44.1 lbs,Tadpole,"['Damp', 'Water Absorb']",['Water'],"['Grass', 'Electric']","{'HP': 4, 'Attack': 4, 'Defense': 4, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 6}"
61,62,Poliwrath,https://assets.pokemon.com/assets/cms2/img/pokedex/full/062.png,"Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward.","4' 03""",119.0 lbs,Tadpole,"['Damp', 'Water Absorb']","['Water', 'Fighting']","['Fairy', 'Grass', 'Flying', 'Psychic', 'Electric']","{'HP': 6, 'Attack': 6, 'Defense': 6, 'Special Attack': 5, 'Special Defense': 6, 'Speed': 5}"
62,63,Abra,https://assets.pokemon.com/assets/cms2/img/pokedex/full/063.png,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,"2' 11""",43.0 lbs,Psi,"['Inner Focus', 'Synchronize']",['Psychic'],"['Ghost', 'Dark', 'Bug']","{'HP': 2, 'Attack': 2, 'Defense': 1, 'Special Attack': 7, 'Special Defense': 4, 'Speed': 6}"
63,64,Kadabra,https://assets.pokemon.com/assets/cms2/img/pokedex/full/064.png,"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow.","4' 03""",124.6 lbs,Psi,"['Inner Focus', 'Synchronize']",['Psychic'],"['Ghost', 'Dark', 'Bug']","{'HP': 3, 'Attack': 3, 'Defense': 2, 'Special Attack': 8, 'Special Defense': 5, 'Speed': 7}"
64,65,Alakazam,https://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.","4' 11""",105.8 lbs,Psi,"['Inner Focus', 'Synchronize']",['Psychic'],"['Ghost', 'Dark', 'Bug']","{'HP': 4, 'Attack': 3, 'Defense': 3, 'Special Attack': 8, 'Special Defense': 6, 'Speed': 8}"
65,66,Machop,https://assets.pokemon.com/assets/cms2/img/pokedex/full/066.png,"Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups.","2' 07""",43.0 lbs,Superpower,"['Guts', 'No Guard']",['Fighting'],"['Psychic', 'Flying', 'Fairy']","{'HP': 5, 'Attack': 5, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 3}"
66,67,Machoke,https://assets.pokemon.com/assets/cms2/img/pokedex/full/067.png,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.","4' 11""",155.4 lbs,Superpower,"['Guts', 'No Guard']",['Fighting'],"['Psychic', 'Flying', 'Fairy']","{'HP': 5, 'Attack': 6, 'Defense': 5, 'Special Attack': 3, 'Special Defense': 4, 'Speed': 3}"
67,68,Machamp,https://assets.pokemon.com/assets/cms2/img/pokedex/full/068.png,"It punches with its four arms at blinding speed. It can launch 1,000 punches in two seconds.","5' 03""",286.6 lbs,Superpower,"['Guts', 'No Guard']",['Fighting'],"['Psychic', 'Flying', 'Fairy']","{'HP': 6, 'Attack': 8, 'Defense': 5, 'Special Attack': 4, 'Special Defense': 5, 'Speed': 4}"
68,69,Bellsprout,https://assets.pokemon.com/assets/cms2/img/pokedex/full/069.png,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.,"2' 04""",8.8 lbs,Flower,['Chlorophyll'],"['Grass', 'Poison']","['Fire', 'Psychic', 'Flying', 'Ice']","{'HP': 3, 'Attack': 5, 'Defense': 3, 'Special Attack': 5, 'Special Defense': 2, 'Speed': 3}"
